date,nonfarm_employment,unemployment_rate,labor_force_participation,average_hourly_earnings
2023-01-01,154780,3.5,62.4,33.05
2023-02-01,155086,3.6,62.5,33.16
2023-03-01,155171,3.5,62.6,33.28
2023-04-01,155387,3.4,62.6,33.42
2023-05-01,155614,3.6,62.6,33.52
2023-06-01,155871,3.6,62.6,33.69
2023-07-01,156019,3.5,62.6,33.84
2023-08-01,156176,3.7,62.8,33.89
2023-09-01,156334,3.7,62.7,33.99
2023-10-01,156520,3.9,62.6,34.07
2023-11-01,156661,3.7,62.8,34.19
2023-12-01,156930,3.8,62.5,34.31
2024-01-01,157049,3.7,62.5,34.47
2024-02-01,157271,3.9,62.6,34.54
2024-03-01,157517,3.9,62.7,34.67
2024-04-01,157635,3.9,62.6,34.75
2024-05-01,157828,3.9,62.6,34.89
2024-06-01,157915,4.1,62.6,35.0
2024-07-01,158003,4.2,62.7,35.07
2024-08-01,158074,4.2,62.7,35.23
2024-09-01,158314,4.1,62.7,35.33
2024-10-01,158358,4.1,62.5,35.48
2024-11-01,158619,4.2,62.4,35.61
2024-12-01,158942,4.1,62.5,35.68
2025-01-01,159053,4.0,62.6,35.83
2025-02-01,159155,4.2,62.5,35.9
2025-03-01,159275,4.2,62.5,36.02
2025-04-01,159433,4.2,62.6,36.08
2025-05-01,159452,4.3,62.4,36.23
2025-06-01,159439,4.1,62.3,36.31
2025-07-01,159511,4.3,62.2,36.43
2025-08-01,159485,4.3,62.3,36.58
2025-09-01,159593,4.4,62.5,36.65
2025-10-01,159420,,,36.81
2025-11-01,159476,4.5,62.5,36.9
2025-12-01,159526,4.4,62.4,37.02
